June 26, 2017 20:23:04:580000		LiftLandTableRepeat
June 26, 2017 20:25:25:284000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:25:25:287000	127.0.0.1-9557	128
June 26, 2017 20:25:25:289000	127.0.0.1-9557	638
June 26, 2017 20:25:25:291000	127.0.0.1-9557	0
June 26, 2017 20:25:25:292000	127.0.0.1-9557	59
June 26, 2017 20:25:33:757000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:25:33:759000	127.0.0.1-9559	0
June 26, 2017 20:25:33:760000	127.0.0.1-9559	638
June 26, 2017 20:25:33:762000	127.0.0.1-9559	0
June 26, 2017 20:25:33:763000	127.0.0.1-9559	159
June 26, 2017 20:25:34:746000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:25:34:747000	127.0.0.1-9557	0
June 26, 2017 20:25:34:749000	127.0.0.1-9557	638
June 26, 2017 20:25:34:750000	127.0.0.1-9557	0
June 26, 2017 20:25:34:752000	127.0.0.1-9557	87
June 26, 2017 20:25:43:111000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:25:43:112000	127.0.0.1-9559	0
June 26, 2017 20:25:43:114000	127.0.0.1-9559	638
June 26, 2017 20:25:43:115000	127.0.0.1-9559	0
June 26, 2017 20:25:43:119000	127.0.0.1-9559	211
June 26, 2017 20:25:44:151000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:25:44:154000	127.0.0.1-9557	0
June 26, 2017 20:25:44:155000	127.0.0.1-9557	638
June 26, 2017 20:25:44:158000	127.0.0.1-9557	0
June 26, 2017 20:25:44:161000	127.0.0.1-9557	83
June 26, 2017 20:25:52:061000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
June 26, 2017 20:25:52:063000	127.0.0.1-9559	[607, 100]
June 26, 2017 20:25:52:065000	127.0.0.1-9559	[(604, 96), (616, 36), (635, 55), (607, 100), [640, 480]]
June 26, 2017 20:25:53:506000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:25:53:508000	127.0.0.1-9557	0
June 26, 2017 20:25:53:511000	127.0.0.1-9557	638
June 26, 2017 20:25:53:513000	127.0.0.1-9557	0
June 26, 2017 20:25:53:515000	127.0.0.1-9557	111
June 26, 2017 20:25:56:243000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:25:56:245000	127.0.0.1-9559	0
June 26, 2017 20:25:56:247000	127.0.0.1-9559	638
June 26, 2017 20:25:56:250000	127.0.0.1-9559	0
June 26, 2017 20:25:56:252000	127.0.0.1-9559	211
June 26, 2017 20:25:56:257000	127.0.0.1-9559	Keep walking until very close to table
June 26, 2017 20:26:00:813000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:26:00:814000	127.0.0.1-9559	0
June 26, 2017 20:26:00:816000	127.0.0.1-9559	638
June 26, 2017 20:26:00:817000	127.0.0.1-9559	0
June 26, 2017 20:26:00:819000	127.0.0.1-9559	211
June 26, 2017 20:26:01:140000	127.0.0.1-9559	mask sizes
June 26, 2017 20:26:01:141000	127.0.0.1-9559	Inside: Looking for y axis ranges on coloured blob
June 26, 2017 20:26:01:676000	127.0.0.1-9559	One of the vertical positions not found AlignBodyHorizontallyWithTable
June 26, 2017 20:26:03:454000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:26:03:455000	127.0.0.1-9557	0
June 26, 2017 20:26:03:456000	127.0.0.1-9557	638
June 26, 2017 20:26:03:459000	127.0.0.1-9557	0
June 26, 2017 20:26:03:461000	127.0.0.1-9557	107
June 26, 2017 20:26:11:581000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:26:11:584000	127.0.0.1-9559	124
June 26, 2017 20:26:11:586000	127.0.0.1-9559	638
June 26, 2017 20:26:11:588000	127.0.0.1-9559	188
June 26, 2017 20:26:11:590000	127.0.0.1-9559	478
June 26, 2017 20:26:11:738000	127.0.0.1-9559	516
June 26, 2017 20:26:12:909000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:26:12:911000	127.0.0.1-9557	0
June 26, 2017 20:26:12:912000	127.0.0.1-9557	638
June 26, 2017 20:26:12:914000	127.0.0.1-9557	0
June 26, 2017 20:26:12:915000	127.0.0.1-9557	119
June 26, 2017 20:26:22:422000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:26:22:425000	127.0.0.1-9557	0
June 26, 2017 20:26:22:427000	127.0.0.1-9557	638
June 26, 2017 20:26:22:429000	127.0.0.1-9557	0
June 26, 2017 20:26:22:431000	127.0.0.1-9557	159
June 26, 2017 20:26:25:748000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:26:25:750000	127.0.0.1-9559	0
June 26, 2017 20:26:25:751000	127.0.0.1-9559	638
June 26, 2017 20:26:25:753000	127.0.0.1-9559	12
June 26, 2017 20:26:25:755000	127.0.0.1-9559	478
June 26, 2017 20:26:25:848000	127.0.0.1-9559	638
June 26, 2017 20:26:32:672000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:26:32:674000	127.0.0.1-9557	0
June 26, 2017 20:26:32:677000	127.0.0.1-9557	638
June 26, 2017 20:26:32:681000	127.0.0.1-9557	0
June 26, 2017 20:26:32:688000	127.0.0.1-9557	167
June 26, 2017 20:26:34:367000	127.0.0.1-9559	too much to left: -122
June 26, 2017 20:26:42:587000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:26:42:594000	127.0.0.1-9557	0
June 26, 2017 20:26:42:596000	127.0.0.1-9557	638
June 26, 2017 20:26:42:598000	127.0.0.1-9557	0
June 26, 2017 20:26:42:600000	127.0.0.1-9557	195
June 26, 2017 20:26:43:846000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
June 26, 2017 20:26:43:849000	127.0.0.1-9559	[204, 107]
June 26, 2017 20:26:43:851000	127.0.0.1-9559	[(200, 96), (220, 44), (235, 63), (204, 107), [640, 480]]
June 26, 2017 20:26:47:540000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:26:47:562000	127.0.0.1-9559	0
June 26, 2017 20:26:47:564000	127.0.0.1-9559	638
June 26, 2017 20:26:47:566000	127.0.0.1-9559	0
June 26, 2017 20:26:47:572000	127.0.0.1-9559	323
June 26, 2017 20:26:47:618000	127.0.0.1-9559	Keep walking until very close to table
June 26, 2017 20:26:52:143000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:26:52:145000	127.0.0.1-9557	0
June 26, 2017 20:26:52:148000	127.0.0.1-9557	638
June 26, 2017 20:26:52:169000	127.0.0.1-9557	0
June 26, 2017 20:26:52:170000	127.0.0.1-9557	235
June 26, 2017 20:26:52:353000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:26:52:355000	127.0.0.1-9559	0
June 26, 2017 20:26:52:359000	127.0.0.1-9559	638
June 26, 2017 20:26:52:361000	127.0.0.1-9559	0
June 26, 2017 20:26:52:364000	127.0.0.1-9559	327
June 26, 2017 20:26:52:511000	127.0.0.1-9559	mask sizes
June 26, 2017 20:26:52:513000	127.0.0.1-9559	Inside: Looking for y axis ranges on coloured blob
June 26, 2017 20:26:52:565000	127.0.0.1-9559	left value Y
June 26, 2017 20:26:52:567000	127.0.0.1-9559	274
June 26, 2017 20:26:52:569000	127.0.0.1-9559	left value Y
June 26, 2017 20:26:52:571000	127.0.0.1-9559	262
June 26, 2017 20:26:52:573000	127.0.0.1-9559	left value Y
June 26, 2017 20:26:52:575000	127.0.0.1-9559	250
June 26, 2017 20:26:59:992000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:26:59:995000	127.0.0.1-9559	0
June 26, 2017 20:26:59:997000	127.0.0.1-9559	638
June 26, 2017 20:26:59:999000	127.0.0.1-9559	0
June 26, 2017 20:27:00:003000	127.0.0.1-9559	327
June 26, 2017 20:27:00:115000	127.0.0.1-9559	mask sizes
June 26, 2017 20:27:00:117000	127.0.0.1-9559	Inside: Looking for y axis ranges on coloured blob
June 26, 2017 20:27:00:167000	127.0.0.1-9559	left value Y
June 26, 2017 20:27:00:175000	127.0.0.1-9559	266
June 26, 2017 20:27:00:182000	127.0.0.1-9559	left value Y
June 26, 2017 20:27:00:183000	127.0.0.1-9559	266
June 26, 2017 20:27:00:186000	127.0.0.1-9559	left value Y
June 26, 2017 20:27:00:200000	127.0.0.1-9559	262
June 26, 2017 20:27:00:364000	127.0.0.1-9559	COMPLETED ** AlignBodyHorizontallyWithTable
June 26, 2017 20:27:00:865000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 26, 2017 20:27:00:867000	127.0.0.1-9557	[526, 120]
June 26, 2017 20:27:00:870000	127.0.0.1-9557	[(1, 36), (87, 1), (544, 48), (526, 120), [640, 480]]
June 26, 2017 20:27:05:650000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:27:05:652000	127.0.0.1-9557	0
June 26, 2017 20:27:05:654000	127.0.0.1-9557	638
June 26, 2017 20:27:05:656000	127.0.0.1-9557	0
June 26, 2017 20:27:05:658000	127.0.0.1-9557	223
June 26, 2017 20:27:05:717000	127.0.0.1-9557	Keep walking until very close to table
June 26, 2017 20:27:10:404000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:27:10:406000	127.0.0.1-9559	88
June 26, 2017 20:27:10:408000	127.0.0.1-9559	638
June 26, 2017 20:27:10:410000	127.0.0.1-9559	188
June 26, 2017 20:27:10:412000	127.0.0.1-9559	478
June 26, 2017 20:27:10:655000	127.0.0.1-9559	552
June 26, 2017 20:27:10:776000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:27:10:777000	127.0.0.1-9557	0
June 26, 2017 20:27:10:779000	127.0.0.1-9557	638
June 26, 2017 20:27:10:781000	127.0.0.1-9557	0
June 26, 2017 20:27:10:782000	127.0.0.1-9557	223
June 26, 2017 20:27:10:972000	127.0.0.1-9557	mask sizes
June 26, 2017 20:27:10:974000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 26, 2017 20:27:11:104000	127.0.0.1-9557	left value Y
June 26, 2017 20:27:11:106000	127.0.0.1-9557	182
June 26, 2017 20:27:11:113000	127.0.0.1-9557	left value Y
June 26, 2017 20:27:11:119000	127.0.0.1-9557	174
June 26, 2017 20:27:11:122000	127.0.0.1-9557	left value Y
June 26, 2017 20:27:11:124000	127.0.0.1-9557	166
June 26, 2017 20:27:18:608000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:27:18:611000	127.0.0.1-9557	0
June 26, 2017 20:27:18:614000	127.0.0.1-9557	638
June 26, 2017 20:27:18:615000	127.0.0.1-9557	0
June 26, 2017 20:27:18:617000	127.0.0.1-9557	215
June 26, 2017 20:27:18:828000	127.0.0.1-9557	mask sizes
June 26, 2017 20:27:18:830000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 26, 2017 20:27:18:897000	127.0.0.1-9557	left value Y
June 26, 2017 20:27:18:899000	127.0.0.1-9557	182
June 26, 2017 20:27:18:915000	127.0.0.1-9557	left value Y
June 26, 2017 20:27:18:918000	127.0.0.1-9557	174
June 26, 2017 20:27:18:921000	127.0.0.1-9557	left value Y
June 26, 2017 20:27:18:925000	127.0.0.1-9557	170
June 26, 2017 20:27:24:823000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:27:24:825000	127.0.0.1-9559	0
June 26, 2017 20:27:24:827000	127.0.0.1-9559	638
June 26, 2017 20:27:24:829000	127.0.0.1-9559	16
June 26, 2017 20:27:24:831000	127.0.0.1-9559	478
June 26, 2017 20:27:25:211000	127.0.0.1-9559	638
June 26, 2017 20:27:26:790000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:27:26:791000	127.0.0.1-9557	0
June 26, 2017 20:27:26:793000	127.0.0.1-9557	638
June 26, 2017 20:27:26:794000	127.0.0.1-9557	0
June 26, 2017 20:27:26:796000	127.0.0.1-9557	191
June 26, 2017 20:27:26:842000	127.0.0.1-9557	mask sizes
June 26, 2017 20:27:26:844000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 26, 2017 20:27:26:864000	127.0.0.1-9557	left value Y
June 26, 2017 20:27:26:875000	127.0.0.1-9557	166
June 26, 2017 20:27:26:877000	127.0.0.1-9557	left value Y
June 26, 2017 20:27:26:879000	127.0.0.1-9557	162
June 26, 2017 20:27:26:881000	127.0.0.1-9557	left value Y
June 26, 2017 20:27:26:884000	127.0.0.1-9557	154
June 26, 2017 20:27:34:056000	127.0.0.1-9559	too much to left: -86
June 26, 2017 20:27:34:077000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:27:34:081000	127.0.0.1-9557	0
June 26, 2017 20:27:34:083000	127.0.0.1-9557	638
June 26, 2017 20:27:34:085000	127.0.0.1-9557	0
June 26, 2017 20:27:34:087000	127.0.0.1-9557	171
June 26, 2017 20:27:34:119000	127.0.0.1-9557	mask sizes
June 26, 2017 20:27:34:121000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 26, 2017 20:27:34:134000	127.0.0.1-9557	left value Y
June 26, 2017 20:27:34:136000	127.0.0.1-9557	154
June 26, 2017 20:27:34:138000	127.0.0.1-9557	left value Y
June 26, 2017 20:27:34:140000	127.0.0.1-9557	150
June 26, 2017 20:27:34:142000	127.0.0.1-9557	left value Y
June 26, 2017 20:27:34:144000	127.0.0.1-9557	146
June 26, 2017 20:27:41:084000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:27:41:086000	127.0.0.1-9557	0
June 26, 2017 20:27:41:087000	127.0.0.1-9557	638
June 26, 2017 20:27:41:089000	127.0.0.1-9557	0
June 26, 2017 20:27:41:093000	127.0.0.1-9557	163
June 26, 2017 20:27:41:120000	127.0.0.1-9557	mask sizes
June 26, 2017 20:27:41:123000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 26, 2017 20:27:41:202000	127.0.0.1-9557	left value Y
June 26, 2017 20:27:41:204000	127.0.0.1-9557	150
June 26, 2017 20:27:41:207000	127.0.0.1-9557	left value Y
June 26, 2017 20:27:41:209000	127.0.0.1-9557	150
