June 06, 2017 21:39:21:466000		MOVE  NAO
June 06, 2017 21:41:40:130000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:41:40:134000	127.0.0.1-9557	[576, 355]
June 06, 2017 21:41:40:137000	127.0.0.1-9557	[(383, 334), (463, 287), (615, 355), (576, 355), [640, 480]]
June 06, 2017 21:41:40:174000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 06, 2017 21:42:08:363000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:42:08:370000	127.0.0.1-9557	[491, 368]
June 06, 2017 21:42:08:382000	127.0.0.1-9557	[(319, 346), (443, 295), (583, 303), (491, 368), [640, 480]]
June 06, 2017 21:42:08:786000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:42:10:186000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:42:10:188000	127.0.0.1-9557	[260, 219]
June 06, 2017 21:42:10:192000	127.0.0.1-9557	[(260, 216), (264, 212), (267, 215), (260, 219), [640, 480]]
June 06, 2017 21:42:13:784000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:42:15:106000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:42:15:111000	127.0.0.1-9557	[352, 411]
June 06, 2017 21:42:15:114000	127.0.0.1-9557	[(352, 408), (357, 407), (363, 411), (352, 411), [640, 480]]
June 06, 2017 21:42:18:173000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:42:19:507000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:42:19:509000	127.0.0.1-9557	[344, 419]
June 06, 2017 21:42:19:512000	127.0.0.1-9557	[(344, 416), (349, 415), (355, 419), (344, 419), [640, 480]]
June 06, 2017 21:42:22:955000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:42:22:959000	127.0.0.1-9557	[612, 375]
June 06, 2017 21:42:22:966000	127.0.0.1-9557	[(380, 336), (501, 295), (638, 328), (612, 375), [640, 480]]
June 06, 2017 21:42:23:116000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 06, 2017 21:42:53:421000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:42:53:436000	127.0.0.1-9557	[624, 375]
June 06, 2017 21:42:53:443000	127.0.0.1-9557	[(392, 336), (533, 291), (638, 375), (624, 375), [640, 480]]
June 06, 2017 21:42:53:961000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:42:55:660000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:42:55:663000	127.0.0.1-9557	[364, 419]
June 06, 2017 21:42:55:677000	127.0.0.1-9557	[(364, 416), (364, 416), (375, 419), (364, 419), [640, 480]]
June 06, 2017 21:42:59:616000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:43:01:117000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:43:01:121000	127.0.0.1-9557	[360, 419]
June 06, 2017 21:43:01:139000	127.0.0.1-9557	[(360, 416), (363, 415), (371, 419), (360, 419), [640, 480]]
June 06, 2017 21:43:07:085000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:43:07:114000	127.0.0.1-9557	[616, 375]
June 06, 2017 21:43:07:116000	127.0.0.1-9557	[(388, 336), (520, 292), (638, 295), (616, 375), [640, 480]]
June 06, 2017 21:43:08:938000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 06, 2017 21:43:39:260000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:43:39:262000	127.0.0.1-9557	[506, 368]
June 06, 2017 21:43:39:265000	127.0.0.1-9557	[(304, 336), (563, 283), (615, 287), (506, 368), [640, 480]]
June 06, 2017 21:43:39:300000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:43:40:757000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:43:40:759000	127.0.0.1-9557	[300, 419]
June 06, 2017 21:43:40:785000	127.0.0.1-9557	[(300, 416), (300, 416), (315, 419), (300, 419), [640, 480]]
June 06, 2017 21:43:44:240000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:43:45:635000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:43:45:644000	127.0.0.1-9557	[304, 419]
June 06, 2017 21:43:45:647000	127.0.0.1-9557	[(304, 416), (304, 416), (315, 419), (304, 419), [640, 480]]
June 06, 2017 21:43:49:103000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:43:49:107000	127.0.0.1-9557	[504, 375]
June 06, 2017 21:43:49:111000	127.0.0.1-9557	[(311, 339), (467, 295), (623, 311), (504, 375), [640, 480]]
June 06, 2017 21:43:49:600000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 06, 2017 21:44:19:151000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:44:19:155000	127.0.0.1-9557	[521, 364]
June 06, 2017 21:44:19:157000	127.0.0.1-9557	[(299, 339), (619, 310), (619, 310), (521, 364), [640, 480]]
June 06, 2017 21:44:19:457000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:44:20:900000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:44:20:910000	127.0.0.1-9557	[288, 423]
June 06, 2017 21:44:20:913000	127.0.0.1-9557	[(288, 420), (288, 420), (303, 423), (288, 423), [640, 480]]
June 06, 2017 21:44:24:373000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 21:44:25:795000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:44:25:800000	127.0.0.1-9557	[302, 424]
June 06, 2017 21:44:25:816000	127.0.0.1-9557	[(296, 420), (302, 419), (307, 423), (302, 424), [640, 480]]
June 06, 2017 21:44:29:408000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 21:44:29:410000	127.0.0.1-9557	[500, 383]
June 06, 2017 21:44:29:418000	127.0.0.1-9557	[(295, 343), (473, 295), (627, 311), (500, 383), [640, 480]]
