April 23, 2017 19:17:32:685000		MOVE  NAO
April 23, 2017 19:18:56:684000	127.0.0.1-9559	[(376, 292), (539, 279), (638, 300), (468, 331), [640, 480]]
April 23, 2017 19:18:57:609000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:57:612000	127.0.0.1-9557	[576, 283]
April 23, 2017 19:18:57:614000	127.0.0.1-9557	[(459, 197), (555, 187), (638, 283), (576, 283), [640, 480]]
April 23, 2017 19:18:57:655000	127.0.0.1-9557	AlignClosestCornerToMiddle
April 23, 2017 19:18:58:904000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:58:909000	127.0.0.1-9557	[597, 260]
April 23, 2017 19:18:58:913000	127.0.0.1-9557	[(471, 199), (472, 198), (638, 256), (597, 260), [640, 480]]
April 23, 2017 19:19:03:881000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:03:883000	127.0.0.1-9559	[412, 331]
April 23, 2017 19:19:03:885000	127.0.0.1-9559	[(315, 297), (467, 279), (587, 295), (412, 331), [640, 480]]
April 23, 2017 19:19:05:114000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:05:118000	127.0.0.1-9559	[404, 331]
April 23, 2017 19:19:05:124000	127.0.0.1-9559	[(312, 292), (463, 279), (587, 295), (404, 331), [640, 480]]
April 23, 2017 19:19:06:521000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:06:524000	127.0.0.1-9557	[524, 287]
April 23, 2017 19:19:06:527000	127.0.0.1-9557	[(420, 208), (434, 195), (638, 287), (524, 287), [640, 480]]
April 23, 2017 19:19:08:213000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:08:217000	127.0.0.1-9557	[517, 280]
April 23, 2017 19:19:08:222000	127.0.0.1-9557	[(415, 205), (450, 191), (638, 251), (517, 280), [640, 480]]
April 23, 2017 19:19:12:509000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:12:515000	127.0.0.1-9559	[380, 323]
April 23, 2017 19:19:12:517000	127.0.0.1-9559	[(296, 292), (455, 271), (563, 287), (380, 323), [640, 480]]
April 23, 2017 19:19:13:894000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:13:896000	127.0.0.1-9559	[388, 331]
April 23, 2017 19:19:13:898000	127.0.0.1-9559	[(296, 296), (439, 279), (571, 295), (388, 331), [640, 480]]
April 23, 2017 19:19:15:277000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:15:279000	127.0.0.1-9557	[444, 271]
April 23, 2017 19:19:15:282000	127.0.0.1-9557	[(355, 198), (611, 171), (638, 255), (444, 271), [640, 480]]
April 23, 2017 19:19:16:541000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:16:543000	127.0.0.1-9557	[444, 279]
April 23, 2017 19:19:16:549000	127.0.0.1-9557	[(355, 201), (623, 183), (638, 267), (444, 279), [640, 480]]
April 23, 2017 19:19:21:107000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:21:111000	127.0.0.1-9559	[376, 331]
April 23, 2017 19:19:21:115000	127.0.0.1-9559	[(284, 296), (443, 279), (551, 295), (376, 331), [640, 480]]
April 23, 2017 19:19:22:354000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:22:358000	127.0.0.1-9559	[380, 331]
April 23, 2017 19:19:22:360000	127.0.0.1-9559	[(284, 296), (431, 279), (559, 295), (380, 331), [640, 480]]
April 23, 2017 19:19:24:014000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:24:016000	127.0.0.1-9557	[376, 275]
April 23, 2017 19:19:24:019000	127.0.0.1-9557	[(295, 203), (571, 179), (638, 251), (376, 275), [640, 480]]
April 23, 2017 19:19:25:289000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:25:292000	127.0.0.1-9557	[376, 275]
April 23, 2017 19:19:25:294000	127.0.0.1-9557	[(291, 202), (613, 175), (638, 251), (376, 275), [640, 480]]
April 23, 2017 19:19:29:464000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:29:468000	127.0.0.1-9559	[364, 331]
April 23, 2017 19:19:29:473000	127.0.0.1-9559	[(272, 292), (415, 279), (543, 295), (364, 331), [640, 480]]
April 23, 2017 19:19:30:701000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:30:703000	127.0.0.1-9559	[352, 327]
April 23, 2017 19:19:30:705000	127.0.0.1-9559	[(272, 292), (411, 279), (540, 292), (352, 327), [640, 480]]
April 23, 2017 19:19:32:728000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:32:731000	127.0.0.1-9557	[337, 268]
April 23, 2017 19:19:32:734000	127.0.0.1-9557	[(263, 198), (609, 159), (638, 207), (337, 268), [640, 480]]
April 23, 2017 19:19:34:021000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:34:024000	127.0.0.1-9557	[344, 275]
April 23, 2017 19:19:34:028000	127.0.0.1-9557	[(271, 207), (603, 175), (638, 247), (344, 275), [640, 480]]
April 23, 2017 19:19:34:066000	127.0.0.1-9557	bottommost point: 283
April 23, 2017 19:19:34:073000	127.0.0.1-9557	move head down by x degrees
April 23, 2017 19:19:35:304000	127.0.0.1-9557	turn angle:  0.72
April 23, 2017 19:19:35:306000	127.0.0.1-9557	bottom most position:  
April 23, 2017 19:19:35:307000	127.0.0.1-9557	576
April 23, 2017 19:19:35:309000	127.0.0.1-9557	AlignClosestCornerToMiddle
April 23, 2017 19:19:36:580000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:36:582000	127.0.0.1-9557	[344, 275]
April 23, 2017 19:19:36:584000	127.0.0.1-9557	[(267, 205), (611, 171), (638, 243), (344, 275), [640, 480]]
April 23, 2017 19:19:37:699000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:37:701000	127.0.0.1-9559	[320, 327]
April 23, 2017 19:19:37:703000	127.0.0.1-9559	[(240, 296), (399, 275), (515, 287), (320, 327), [640, 480]]
April 23, 2017 19:19:38:929000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:38:931000	127.0.0.1-9559	[320, 327]
April 23, 2017 19:19:38:933000	127.0.0.1-9559	[(243, 299), (379, 279), (507, 289), (320, 327), [640, 480]]
April 23, 2017 19:19:39:075000	127.0.0.1-9559	bottommost point: 339
April 23, 2017 19:19:39:087000	127.0.0.1-9559	move head down by x degrees
April 23, 2017 19:19:40:325000	127.0.0.1-9559	turn angle:  0.75375
April 23, 2017 19:19:40:474000	127.0.0.1-9559	bottom most position:  
April 23, 2017 19:19:40:476000	127.0.0.1-9559	588
April 23, 2017 19:19:40:477000	127.0.0.1-9559	AlignClosestCornerToMiddle
April 23, 2017 19:19:41:754000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:41:757000	127.0.0.1-9559	[332, 259]
April 23, 2017 19:19:41:760000	127.0.0.1-9559	[(243, 227), (403, 207), (515, 223), (332, 259), [640, 480]]
April 23, 2017 19:19:46:534000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:46:536000	127.0.0.1-9559	[320, 187]
April 23, 2017 19:19:46:539000	127.0.0.1-9559	[(228, 148), (371, 135), (504, 148), (320, 187), [640, 480]]
April 23, 2017 19:19:46:719000	127.0.0.1-9559	AlignClosestCornerToMiddle
April 23, 2017 19:19:48:031000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:48:035000	127.0.0.1-9559	[324, 183]
April 23, 2017 19:19:48:041000	127.0.0.1-9559	[(232, 148), (383, 131), (507, 147), (324, 183), [640, 480]]
April 23, 2017 19:19:48:130000	127.0.0.1-9559	bottommost point: 187
April 23, 2017 19:19:48:138000	127.0.0.1-9559	turn angle:  0.0
April 23, 2017 19:19:48:145000	127.0.0.1-9559	bottom most position:  
April 23, 2017 19:19:48:147000	127.0.0.1-9559	320
April 23, 2017 19:19:48:153000	127.0.0.1-9559	AlignClosestCornerToMiddle
April 23, 2017 19:19:49:400000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:49:402000	127.0.0.1-9559	[328, 183]
April 23, 2017 19:19:49:404000	127.0.0.1-9559	[(232, 148), (379, 131), (504, 145), (328, 183), [640, 480]]
April 23, 2017 19:19:55:870000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:19:55:873000	127.0.0.1-9557	[499, 478]
April 23, 2017 19:19:55:877000	127.0.0.1-9557	[(472, 436), (472, 436), (638, 451), (499, 478), [640, 480]]
April 23, 2017 19:19:55:886000	127.0.0.1-9557	AlignClosestCornerToMiddle
April 23, 2017 19:19:57:157000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
