June 01, 2017 06:15:03:112000		MOVE  NAO
June 01, 2017 06:17:38:244000	127.0.0.1-9557	0
June 01, 2017 06:17:38:247000	127.0.0.1-9557	638
June 01, 2017 06:17:38:249000	127.0.0.1-9557	0
June 01, 2017 06:17:38:252000	127.0.0.1-9557	347
June 01, 2017 06:17:38:334000	127.0.0.1-9557	mask sizes
June 01, 2017 06:17:38:340000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:17:38:363000	127.0.0.1-9557	left value Y
June 01, 2017 06:17:38:369000	127.0.0.1-9557	278
June 01, 2017 06:17:38:373000	127.0.0.1-9557	left value Y
June 01, 2017 06:17:38:376000	127.0.0.1-9557	270
June 01, 2017 06:17:38:380000	127.0.0.1-9557	left value Y
June 01, 2017 06:17:38:387000	127.0.0.1-9557	254
June 01, 2017 06:17:45:960000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:17:45:962000	127.0.0.1-9557	0
June 01, 2017 06:17:45:965000	127.0.0.1-9557	638
June 01, 2017 06:17:45:968000	127.0.0.1-9557	0
June 01, 2017 06:17:45:970000	127.0.0.1-9557	343
June 01, 2017 06:17:45:999000	127.0.0.1-9557	mask sizes
June 01, 2017 06:17:46:002000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:17:46:014000	127.0.0.1-9557	left value Y
June 01, 2017 06:17:46:019000	127.0.0.1-9557	274
June 01, 2017 06:17:46:054000	127.0.0.1-9557	left value Y
June 01, 2017 06:17:46:062000	127.0.0.1-9557	262
June 01, 2017 06:17:46:064000	127.0.0.1-9557	left value Y
June 01, 2017 06:17:46:078000	127.0.0.1-9557	258
June 01, 2017 06:17:53:752000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:17:53:755000	127.0.0.1-9557	0
June 01, 2017 06:17:53:756000	127.0.0.1-9557	638
June 01, 2017 06:17:53:758000	127.0.0.1-9557	0
June 01, 2017 06:17:53:759000	127.0.0.1-9557	311
June 01, 2017 06:17:53:783000	127.0.0.1-9557	mask sizes
June 01, 2017 06:17:53:788000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:17:53:833000	127.0.0.1-9557	left value Y
June 01, 2017 06:17:53:839000	127.0.0.1-9557	238
June 01, 2017 06:17:53:842000	127.0.0.1-9557	left value Y
June 01, 2017 06:17:53:852000	127.0.0.1-9557	226
June 01, 2017 06:17:53:856000	127.0.0.1-9557	left value Y
June 01, 2017 06:17:53:863000	127.0.0.1-9557	218
June 01, 2017 06:18:01:588000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:18:01:590000	127.0.0.1-9557	0
June 01, 2017 06:18:01:593000	127.0.0.1-9557	638
June 01, 2017 06:18:01:595000	127.0.0.1-9557	0
June 01, 2017 06:18:01:595000	127.0.0.1-9557	291
June 01, 2017 06:18:01:622000	127.0.0.1-9557	mask sizes
June 01, 2017 06:18:01:625000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:18:01:647000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:01:654000	127.0.0.1-9557	206
June 01, 2017 06:18:01:660000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:01:668000	127.0.0.1-9557	194
June 01, 2017 06:18:01:672000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:01:676000	127.0.0.1-9557	182
June 01, 2017 06:18:09:482000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:18:09:490000	127.0.0.1-9557	0
June 01, 2017 06:18:09:493000	127.0.0.1-9557	638
June 01, 2017 06:18:09:496000	127.0.0.1-9557	0
June 01, 2017 06:18:09:500000	127.0.0.1-9557	271
June 01, 2017 06:18:09:526000	127.0.0.1-9557	mask sizes
June 01, 2017 06:18:09:533000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:18:09:545000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:09:547000	127.0.0.1-9557	186
June 01, 2017 06:18:09:550000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:09:552000	127.0.0.1-9557	174
June 01, 2017 06:18:09:554000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:09:556000	127.0.0.1-9557	166
June 01, 2017 06:18:17:746000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:18:17:753000	127.0.0.1-9557	0
June 01, 2017 06:18:17:761000	127.0.0.1-9557	638
June 01, 2017 06:18:17:763000	127.0.0.1-9557	0
June 01, 2017 06:18:17:765000	127.0.0.1-9557	239
June 01, 2017 06:18:17:960000	127.0.0.1-9557	mask sizes
June 01, 2017 06:18:17:981000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:18:18:082000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:18:094000	127.0.0.1-9557	142
June 01, 2017 06:18:18:101000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:18:103000	127.0.0.1-9557	130
June 01, 2017 06:18:18:107000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:18:110000	127.0.0.1-9557	114
June 01, 2017 06:18:26:058000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:18:26:061000	127.0.0.1-9557	0
June 01, 2017 06:18:26:063000	127.0.0.1-9557	638
June 01, 2017 06:18:26:065000	127.0.0.1-9557	0
June 01, 2017 06:18:26:067000	127.0.0.1-9557	219
June 01, 2017 06:18:26:180000	127.0.0.1-9557	mask sizes
June 01, 2017 06:18:26:182000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:18:26:273000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:26:276000	127.0.0.1-9557	126
June 01, 2017 06:18:26:283000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:26:299000	127.0.0.1-9557	110
June 01, 2017 06:18:26:318000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:26:326000	127.0.0.1-9557	106
June 01, 2017 06:18:34:292000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:18:34:295000	127.0.0.1-9557	0
June 01, 2017 06:18:34:323000	127.0.0.1-9557	638
June 01, 2017 06:18:34:326000	127.0.0.1-9557	0
June 01, 2017 06:18:34:329000	127.0.0.1-9557	207
June 01, 2017 06:18:34:446000	127.0.0.1-9557	mask sizes
June 01, 2017 06:18:34:450000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:18:34:467000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:34:469000	127.0.0.1-9557	118
June 01, 2017 06:18:34:472000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:34:474000	127.0.0.1-9557	114
June 01, 2017 06:18:34:478000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:34:482000	127.0.0.1-9557	98
June 01, 2017 06:18:42:450000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:18:42:456000	127.0.0.1-9557	0
June 01, 2017 06:18:42:458000	127.0.0.1-9557	638
June 01, 2017 06:18:42:461000	127.0.0.1-9557	0
June 01, 2017 06:18:42:463000	127.0.0.1-9557	179
June 01, 2017 06:18:42:486000	127.0.0.1-9557	mask sizes
June 01, 2017 06:18:42:489000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:18:42:506000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:42:510000	127.0.0.1-9557	82
June 01, 2017 06:18:42:513000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:42:518000	127.0.0.1-9557	74
June 01, 2017 06:18:42:526000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:42:537000	127.0.0.1-9557	58
June 01, 2017 06:18:50:128000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:18:50:132000	127.0.0.1-9557	0
June 01, 2017 06:18:50:136000	127.0.0.1-9557	638
June 01, 2017 06:18:50:140000	127.0.0.1-9557	0
June 01, 2017 06:18:50:145000	127.0.0.1-9557	155
June 01, 2017 06:18:50:196000	127.0.0.1-9557	mask sizes
June 01, 2017 06:18:50:199000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:18:50:228000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:50:233000	127.0.0.1-9557	102
June 01, 2017 06:18:50:238000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:50:240000	127.0.0.1-9557	86
June 01, 2017 06:18:50:242000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:50:243000	127.0.0.1-9557	86
June 01, 2017 06:18:57:755000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:18:57:758000	127.0.0.1-9557	0
June 01, 2017 06:18:57:761000	127.0.0.1-9557	638
June 01, 2017 06:18:57:765000	127.0.0.1-9557	0
June 01, 2017 06:18:57:768000	127.0.0.1-9557	131
June 01, 2017 06:18:57:793000	127.0.0.1-9557	mask sizes
June 01, 2017 06:18:57:797000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:18:57:813000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:57:816000	127.0.0.1-9557	70
June 01, 2017 06:18:57:823000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:57:829000	127.0.0.1-9557	58
June 01, 2017 06:18:57:832000	127.0.0.1-9557	left value Y
June 01, 2017 06:18:57:837000	127.0.0.1-9557	58
June 01, 2017 06:19:05:577000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:19:05:579000	127.0.0.1-9557	0
June 01, 2017 06:19:05:582000	127.0.0.1-9557	638
June 01, 2017 06:19:05:585000	127.0.0.1-9557	0
June 01, 2017 06:19:05:589000	127.0.0.1-9557	123
June 01, 2017 06:19:05:623000	127.0.0.1-9557	mask sizes
June 01, 2017 06:19:05:627000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:19:05:644000	127.0.0.1-9557	left value Y
June 01, 2017 06:19:05:647000	127.0.0.1-9557	58
June 01, 2017 06:19:05:649000	127.0.0.1-9557	left value Y
June 01, 2017 06:19:05:659000	127.0.0.1-9557	58
June 01, 2017 06:19:05:667000	127.0.0.1-9557	left value Y
June 01, 2017 06:19:05:670000	127.0.0.1-9557	50
June 01, 2017 06:19:14:014000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:19:14:018000	127.0.0.1-9557	0
June 01, 2017 06:19:14:020000	127.0.0.1-9557	638
June 01, 2017 06:19:14:023000	127.0.0.1-9557	0
June 01, 2017 06:19:14:026000	127.0.0.1-9557	115
June 01, 2017 06:19:14:058000	127.0.0.1-9557	mask sizes
June 01, 2017 06:19:14:079000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:19:14:107000	127.0.0.1-9557	left value Y
June 01, 2017 06:19:14:110000	127.0.0.1-9557	50
June 01, 2017 06:19:14:114000	127.0.0.1-9557	left value Y
June 01, 2017 06:19:14:121000	127.0.0.1-9557	46
June 01, 2017 06:19:14:124000	127.0.0.1-9557	left value Y
June 01, 2017 06:19:14:126000	127.0.0.1-9557	38
June 01, 2017 06:19:21:748000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:19:21:752000	127.0.0.1-9557	0
June 01, 2017 06:19:21:758000	127.0.0.1-9557	459
June 01, 2017 06:19:21:763000	127.0.0.1-9557	0
June 01, 2017 06:19:21:768000	127.0.0.1-9557	91
June 01, 2017 06:19:21:793000	127.0.0.1-9557	mask sizes
June 01, 2017 06:19:21:798000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:19:21:815000	127.0.0.1-9557	left value Y
June 01, 2017 06:19:21:819000	127.0.0.1-9557	18
June 01, 2017 06:19:21:823000	127.0.0.1-9557	Y values left mid right
June 01, 2017 06:19:21:828000	127.0.0.1-9557	18
June 01, 2017 06:19:21:831000	127.0.0.1-9557	-1
June 01, 2017 06:19:21:835000	127.0.0.1-9557	-1
June 01, 2017 06:19:29:198000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:19:29:200000	127.0.0.1-9557	0
June 01, 2017 06:19:29:202000	127.0.0.1-9557	575
June 01, 2017 06:19:29:204000	127.0.0.1-9557	0
June 01, 2017 06:19:29:207000	127.0.0.1-9557	111
June 01, 2017 06:19:29:225000	127.0.0.1-9557	mask sizes
June 01, 2017 06:19:29:227000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:19:29:242000	127.0.0.1-9557	left value Y
June 01, 2017 06:19:29:251000	127.0.0.1-9557	46
June 01, 2017 06:19:29:259000	127.0.0.1-9557	left value Y
June 01, 2017 06:19:29:266000	127.0.0.1-9557	30
June 01, 2017 06:19:29:275000	127.0.0.1-9557	left value Y
June 01, 2017 06:19:29:282000	127.0.0.1-9557	18
June 01, 2017 06:19:37:385000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:19:37:389000	127.0.0.1-9557	0
June 01, 2017 06:19:37:393000	127.0.0.1-9557	491
June 01, 2017 06:19:37:397000	127.0.0.1-9557	0
June 01, 2017 06:19:37:400000	127.0.0.1-9557	107
June 01, 2017 06:19:37:490000	127.0.0.1-9557	mask sizes
June 01, 2017 06:19:37:492000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:19:37:549000	127.0.0.1-9557	left value Y
June 01, 2017 06:19:37:556000	127.0.0.1-9557	26
June 01, 2017 06:19:37:566000	127.0.0.1-9557	left value Y
June 01, 2017 06:19:37:569000	127.0.0.1-9557	18
June 01, 2017 06:19:37:573000	127.0.0.1-9557	left value Y
June 01, 2017 06:19:37:581000	127.0.0.1-9557	2
June 01, 2017 06:19:45:357000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:19:45:361000	127.0.0.1-9557	0
June 01, 2017 06:19:45:364000	127.0.0.1-9557	491
June 01, 2017 06:19:45:367000	127.0.0.1-9557	0
June 01, 2017 06:19:45:371000	127.0.0.1-9557	103
June 01, 2017 06:19:45:440000	127.0.0.1-9557	mask sizes
June 01, 2017 06:19:45:447000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:19:45:501000	127.0.0.1-9557	left value Y
June 01, 2017 06:19:45:509000	127.0.0.1-9557	26
June 01, 2017 06:19:45:511000	127.0.0.1-9557	left value Y
June 01, 2017 06:19:45:513000	127.0.0.1-9557	14
June 01, 2017 06:19:45:516000	127.0.0.1-9557	left value Y
June 01, 2017 06:19:45:518000	127.0.0.1-9557	6
